date,date_id,amount,passenger_count,distance_travelled,no_of_trips,date_id2,transaction_date,year,mon_year,year_mon_num,qtr_num,qtr_year,mon_num,mon_long_name,mon_short_name,wk_num,day_of_year,day_of_mon,day_of_week,day_long_name,day_short_name,temprature,day,rain,snw,ID
2016-07-01,1072016,5305885,532495,980385.44,322653,1072016,01-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,27,183,1,6,Friday,Fri,72.5,01-07-2016,0,0,1
2016-07-02,2072016,4200631.5,456485,891328.1,264231,2072016,02-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,27,184,2,7,Saturday,Sat,69.5,02-07-2016,1,0,2
2016-07-03,3072016,3496528,403006,749962.25,230616,3072016,03-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,28,185,3,1,Sunday,Sun,71,03-07-2016,1,0,3
2016-07-04,4072016,3658428.8,391066,783386.06,225193,4072016,04-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,28,186,4,2,Monday,Mon,75,04-07-2016,0,0,4
2016-07-05,5072016,4753172,483033,1254866.5,291364,5072016,05-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,28,187,5,3,Tuesday,Tue,77.5,05-07-2016,0,0,5
2016-07-06,6072016,4806071,497391,911539.7,309205,6072016,06-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,28,188,6,4,Wednesday,Wed,83,06-07-2016,0,1,6
2016-07-07,7072016,5574066.5,568661,988356.25,348333,7072016,07-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,28,189,7,5,Thursday,Thu,83,07-07-2016,0,1,7
2016-07-08,8072016,5519540.5,572845,983825.75,345168,8072016,08-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,28,190,8,6,Friday,Fri,76.5,08-07-2016,0,0,8
2016-07-09,9072016,5155947.5,568455,1004071.94,330644,9072016,09-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,28,191,9,7,Saturday,Sat,68.5,09-07-2016,0,0,9
2016-07-10,10072016,5357516,514206,4348091,300516,10072016,10-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,29,192,10,1,Sunday,Sun,73,10-07-2016,0,0,10
2016-07-11,11072016,5089515.5,498733,963163.56,304703,11072016,11-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,29,193,11,2,Monday,Mon,73,11-07-2016,1,0,11
2016-07-12,12072016,5563715.5,557315,995095.75,339257,12072016,12-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,29,194,12,3,Tuesday,Tue,75,12-07-2016,1,0,12
2016-07-13,13072016,6110492.5,603137,1082285.2,368372,13072016,13-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,29,195,13,4,Wednesday,Wed,78,13-07-2016,0,0,13
2016-07-14,14072016,6396588.5,613135,1119314.4,371729,14072016,14-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,29,196,14,5,Thursday,Thu,80.5,14-07-2016,0,1,14
2016-07-15,15072016,6332960,616130,1140335.2,371212,15072016,15-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,29,197,15,6,Friday,Fri,83.5,15-07-2016,0,0,15
2016-07-16,16072016,5454415.5,601236,1045725.7,347746,16072016,16-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,29,198,16,7,Saturday,Sat,82.5,16-07-2016,0,0,16
2016-07-17,17072016,5270885,557507,1087865.5,323212,17072016,17-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,30,199,17,1,Sunday,Sun,82,17-07-2016,1,0,17
2016-07-18,18072016,5412073.5,536593,1010266.8,327449,18072016,18-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,30,200,18,2,Monday,Mon,82.5,18-07-2016,1,0,18
2016-07-19,19072016,5725877,561871,1028219.94,342162,19072016,19-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,30,201,19,3,Tuesday,Tue,78,19-07-2016,0,0,19
2016-07-20,20072016,6018139.5,584697,1358542.4,355271,20072016,20-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,30,202,20,4,Wednesday,Wed,76.5,20-07-2016,1,0,20
2016-07-21,21072016,6291830.5,592519,1098235.9,361414,21072016,21-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,30,203,21,5,Thursday,Thu,80.5,21-07-2016,0,0,21
2016-07-22,22072016,6203062.5,620468,1122152,373334,22072016,22-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,30,204,22,6,Friday,Fri,84,22-07-2016,1,0,22
2016-07-23,23072016,5322426.5,612998,1044788.9,353197,23072016,23-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,30,205,23,7,Saturday,Sat,88,23-07-2016,1,0,23
2016-07-24,24072016,5178557.5,550175,1072600,320050,24072016,24-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,31,206,24,1,Sunday,Sun,84.5,24-07-2016,1,0,24
2016-07-25,25072016,5199731.5,522661,1256981.6,318892,25072016,25-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,31,207,25,2,Monday,Mon,83,25-07-2016,0,0,25
2016-07-26,26072016,5936147,573919,1590873,348291,26072016,26-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,31,208,26,3,Tuesday,Tue,80.5,26-07-2016,1,0,26
2016-07-27,27072016,5915584.5,589478,1048935,360021,27072016,27-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,31,209,27,4,Wednesday,Wed,82.5,27-07-2016,0,0,27
2016-07-28,28072016,6203034,604321,1077197.1,367497,28072016,28-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,31,210,28,5,Thursday,Thu,85,28-07-2016,0,0,28
2016-07-29,29072016,6134030,594573,1095020,358215,29072016,29-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,31,211,29,6,Friday,Fri,77,29-07-2016,0,0,29
2016-07-30,30072016,5355974.5,587412,1020223.75,341122,30072016,30-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,31,212,30,7,Saturday,Sat,78.5,30-07-2016,0,0,30
2016-07-31,31072016,4867739,521336,1233425.8,303347,31072016,31-07-16,2016,Jul-2016,201607,3,Q3-2016,7,July,Jul,32,213,31,1,Sunday,Sun,74.5,31-07-2016,0,1,31
2016-08-01,1082016,5204408,504563,994990.4,306741,1082016,01-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,32,214,1,2,Monday,Mon,74.5,01-08-2016,0,0,32
2016-08-02,2082016,5466446,541450,988159.25,328622,2082016,02-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,32,215,2,3,Tuesday,Tue,73.5,02-08-2016,0,0,33
2016-08-03,3082016,5643656,555618,1436372.1,337552,3082016,03-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,32,216,3,4,Wednesday,Wed,73,03-08-2016,0,0,34
2016-08-04,4082016,5882203,578760,1283622.4,351267,4082016,04-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,32,217,4,5,Thursday,Thu,74,04-08-2016,0,0,35
2016-08-05,5082016,5601499.5,568981,1025465.7,341040,5082016,05-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,32,218,5,6,Friday,Fri,76,05-08-2016,0,0,36
2016-08-06,6082016,4990978,557772,963417.1,322046,6082016,06-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,32,219,6,7,Saturday,Sat,79.5,06-08-2016,0,0,37
2016-08-07,7082016,4733982,498737,988079.5,289718,7082016,07-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,33,220,7,1,Sunday,Sun,78,07-08-2016,1,0,38
2016-08-08,8082016,4769279,475511,908486.44,289549,8082016,08-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,33,221,8,2,Monday,Mon,78.5,08-08-2016,1,0,39
2016-08-09,9082016,5393544,536272,1125874,325139,9082016,09-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,33,222,9,3,Tuesday,Tue,79,09-08-2016,0,1,40
2016-08-10,10082016,5602232,561604,991120.1,343210,10082016,10-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,33,223,10,4,Wednesday,Wed,80.5,10-08-2016,0,1,41
2016-08-11,11082016,5920834,598947,1039706.5,362471,11082016,11-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,33,224,11,5,Thursday,Thu,82.5,11-08-2016,0,0,42
2016-08-12,12082016,5912896,592705,1064347.4,357337,12082016,12-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,33,225,12,6,Friday,Fri,83,12-08-2016,1,1,43
2016-08-13,13082016,5081579,581905,990482.8,335936,13082016,13-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,33,226,13,7,Saturday,Sat,88.5,13-08-2016,1,0,44
2016-08-14,14082016,4538059.5,489793,927856.1,285488,14082016,14-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,34,227,14,1,Sunday,Sun,86,14-08-2016,0,0,45
2016-08-15,15082016,4999541,501008,964700.4,304080,15082016,15-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,34,228,15,2,Monday,Mon,84.5,15-08-2016,0,0,46
2016-08-16,16082016,5229727,544590,945269,331559,16082016,16-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,34,229,16,3,Tuesday,Tue,82.5,16-08-2016,0,0,47
2016-08-17,17082016,5507241.5,548980,986652,333132,17082016,17-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,34,230,17,4,Wednesday,Wed,81,17-08-2016,0,0,48
2016-08-18,18082016,5701609.5,562980,1323035,341690,18082016,18-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,34,231,18,5,Thursday,Thu,78.5,18-08-2016,0,0,49
2016-08-19,19082016,5527010.5,559238,1019503.8,336354,19082016,19-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,34,232,19,6,Friday,Fri,81,19-08-2016,0,0,50
2016-08-20,20082016,4907514.5,537899,8902487,312072,20082016,20-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,34,233,20,7,Saturday,Sat,76.5,20-08-2016,0,0,51
2016-08-21,21082016,4663225,492564,961356.94,288230,21082016,21-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,35,234,21,1,Sunday,Sun,79.5,21-08-2016,0,0,52
2016-08-22,22082016,4755994,462230,918060.6,281223,22082016,22-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,35,235,22,2,Monday,Mon,72,22-08-2016,0,0,53
2016-08-23,23082016,5013551.5,500385,913580.94,303089,23082016,23-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,35,236,23,3,Tuesday,Tue,71.5,23-08-2016,0,0,54
2016-08-24,24082016,5230038,525721,953659.56,319430,24082016,24-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,35,237,24,4,Wednesday,Wed,78,24-08-2016,0,0,55
2016-08-25,25082016,5492752.5,543703,1000617.1,330567,25082016,25-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,35,238,25,5,Thursday,Thu,77.5,25-08-2016,1,0,56
2016-08-26,26082016,5379404,537297,987682.7,323369,26082016,26-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,35,239,26,6,Friday,Fri,82.5,26-08-2016,0,0,57
2016-08-27,27082016,4763636,531341,937664.94,306983,27082016,27-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,35,240,27,7,Saturday,Sat,81,27-08-2016,0,0,58
2016-08-28,28082016,4647392.5,487548,961989.8,283906,28082016,28-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,36,241,28,1,Sunday,Sun,80.5,28-08-2016,0,0,59
2016-08-29,29082016,4680886.5,469529,912376,285760,29082016,29-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,36,242,29,2,Monday,Mon,82.5,29-08-2016,1,0,60
2016-08-30,30082016,4771954.5,488987,887572.9,298412,30082016,30-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,36,243,30,3,Tuesday,Tue,77.5,30-08-2016,0,0,61
2016-08-31,31082016,5146669,521671,948537.5,318936,31082016,31-08-16,2016,Aug-2016,201608,3,Q3-2016,8,August,Aug,36,244,31,4,Wednesday,Wed,81.5,31-08-2016,0,0,62
2016-09-01,1092016,5397105,534692,985237,326552,1092016,01-09-16,2016,Sep-2016,201609,3,Q3-2016,9,September,Sep,36,245,1,5,Thursday,Thu,74,01-09-2016,0,0,63
2016-09-02,2092016,5021198.5,500303,959358.2,299916,2092016,02-09-16,2016,Sep-2016,201609,3,Q3-2016,9,September,Sep,36,246,2,6,Friday,Fri,73.5,02-09-2016,0,0,64
